name,group,by,parameter,base,post,Post-Base,Stdev.P_base,Stdev.P_Post,notes,"Analyzed for QT, QTc etc"
2017-03-08-RatB,MEHP,JH,QT,198.26,259.8,,28.71485,50.19641,take another look at the T wave,
2017-03-10-RatA,Ctrl,JH,QT,157.94,nan,,15.24685,nan,,
2017-03-10-RatB,MEHP,JH,QT,nan,nan,,nan,nan,cannot distinguish T waves,
2017-06-21-RatA,MEHP,JH,QT,78.2,107.88,,1.449138,4.652483,,
2017-07-07-RatB,MEHP,JH,QT,nan,nan,,nan,nan,,
2017-11-13-RatA,MEHP,JH,QT,117.64,156.42,,2.238392,1.397712,,
2018-04-24-RatA,Ctrl,,QT,,,,,,,
2016-12-21-RatA,Ctrl,JH,QTcB,nan,nan,,nan,nan,,
2016-12-21-RatB,Ctrl,JH,QTcB,nan,nan,,nan,nan,,
2016-12-22-RatB,MEHP,JH,QTcB,173.1664,nan,,5.253085,nan,,
2017-10-03-RatA,MEHP,JH,QTcB,242.2255,247.6719,,6.840674,6.157027,,
2017-10-12-RatA,Ctrl,DM,QTcB,211.0354,174.3344,,10.21056,8.74367,,
2017-10-13-RatA,MEHP,JH,QTcB,256.5036,267.4587,,2.69368,3.85861,,
2017-10-13-RatB,Ctrl,,QTcB,,,,,,,
2017-10-24-RatA,MEHP,JH,QTcB,263.7884,295.5016,,1.848725,5.582305,,
2017-10-24-RatB,Ctrl,JH,QTcB,193.2479,312.2964,,2.535399,1.621423,,
2017-01-13-RatA,MEHP,,QTcB,nan,nan,,nan,nan,,
2017-01-27-RatB,Ctrl,,QTcB,,,,,,,
2017-03-17-RatA,Ctrl,JH,QTcB,nan,nan,,nan,nan,,
2017-03-17-RatB,Ctrl,JH,QTcB,181.3389,320.2921,,3.086327,30.63255,,
2016-12-14-RatA,MEHP,JH,QTcB,nan,nan,,nan,nan,Only 16 minutes of data,
2016-12-15-RatA,MEHP,JH,QTcB,nan,nan,,nan,nan,Bad Signals,
2016-12-20-RatA,Ctrl,JH,QTcB,nan,nan,,nan,nan,Corrupted File - Will not open,
2017-02-17-RatA,Ctrl,JH,QTcB,264.9516,nan,,2.996837,nan,,
2017-02-17-RatB,MEHP,JH,QTcB,nan,nan,,nan,nan,,
2017-03-01-RatA,Ctrl,JH,QTcB,nan,nan,,nan,nan,,
2017-03-03-RatA,MEHP,JH,QTcB,237.6208,287.3338,,7.03594,9.708081,,
2017-03-08-RatA,Ctrl,JH,QTcB,nan,nan,,nan,nan,,
2017-03-08-RatB,MEHP,JH,QTcB,346.4618,374.0086,,49.81579,72.28528,take another look at the T wave,
2017-03-10-RatA,Ctrl,JH,QTcB,282.9518,nan,,26.98819,nan,,
2017-03-10-RatB,MEHP,JH,QTcB,nan,nan,,nan,nan,cannot distinguish T waves,
2017-06-21-RatA,MEHP,JH,QTcB,166.1087,205.4482,,3.229366,9.467429,,
2017-07-07-RatB,MEHP,JH,QTcB,nan,nan,,nan,nan,,
2017-11-13-RatA,MEHP,JH,QTcB,242.6244,286.7702,,4.650411,2.473532,,
2018-04-24-RatA,Ctrl,,QTcB,,,,,,,
2016-12-21-RatA,Ctrl,JH,QTcF,nan,nan,,nan,nan,,
2016-12-21-RatB,Ctrl,JH,QTcF,nan,nan,,nan,nan,,
2016-12-22-RatB,MEHP,JH,QTcF,141.3683,nan,,4.022659,nan,,
2017-10-03-RatA,MEHP,JH,QTcF,189.1609,203.1705,,5.322735,5.037622,,
2017-10-12-RatA,Ctrl,DM,QTcF,160.0395,139.433,,7.598782,5.592365,,
2017-10-13-RatA,MEHP,JH,QTcF,201.5498,213.9456,,2.119431,2.809518,,
2017-10-13-RatB,Ctrl,,QTcF,,,,,,,
2017-10-24-RatA,MEHP,JH,QTcF,216.3238,235.2408,,1.501825,4.442166,,
2017-10-24-RatB,Ctrl,JH,QTcF,153.6112,253.0986,,2.031799,1.293807,,
2017-01-13-RatA,MEHP,,QTcF,nan,nan,,nan,nan,,
2017-01-27-RatB,Ctrl,,QTcF,,,,,,,
2017-03-17-RatA,Ctrl,JH,QTcF,nan,nan,,nan,nan,,
2017-03-17-RatB,Ctrl,JH,QTcF,146.6333,293.1818,,2.221814,27.62949,,
2016-12-14-RatA,MEHP,JH,QTcF,nan,nan,,nan,nan,Only 16 minutes of data,
2016-12-15-RatA,MEHP,JH,QTcF,nan,nan,,nan,nan,Bad Signals,
2016-12-20-RatA,Ctrl,JH,QTcF,nan,nan,,nan,nan,Corrupted File - Will not open,
2017-02-17-RatA,Ctrl,JH,QTcF,218.7638,nan,,2.423298,nan,,
2017-02-17-RatB,MEHP,JH,QTcF,nan,nan,,nan,nan,,
2017-03-01-RatA,Ctrl,JH,QTcF,nan,nan,,nan,nan,,
2017-03-03-RatA,MEHP,JH,QTcF,194.9935,249.3341,,5.462383,7.723922,,
2017-03-08-RatA,Ctrl,JH,QTcF,nan,nan,,nan,nan,,
2017-03-08-RatB,MEHP,JH,QTcF,287.6392,331.2326,,41.45657,64.00738,take another look at the T wave,
2017-03-10-RatA,Ctrl,JH,QTcF,232.9715,nan,,22.29473,nan,,
2017-03-10-RatB,MEHP,JH,QTcF,nan,nan,,nan,nan,cannot distinguish T waves,
2017-06-21-RatA,MEHP,JH,QTcF,129.22,165.7474,,2.469281,7.461958,,
2017-07-07-RatB,MEHP,JH,QTcF,nan,nan,,nan,nan,,
2017-11-13-RatA,MEHP,JH,QTcF,191.6822,234.3076,,3.644052,2.040566,,
2018-04-24-RatA,Ctrl,,QTcF,,,,,,,
