"Wavelength (nm)","298805 %T (Unpolarized)","298805 OD (Unpolarized)"
"705.00","-2.17799E-06","37.00000"
"705.50","6.15187E-05","6.21099"
"706.00","4.35768E-05","6.36074"
"706.50","3.13193E-05","6.50419"
"707.00","4.93040E-05","6.30712"
"707.50","3.27597E-05","6.48466"
"708.00","1.17486E-05","6.93001"
"708.50","5.90370E-06","7.22888"
"709.00","3.55807E-05","6.44879"
"709.50","1.83383E-05","6.73664"
"710.00","4.55423E-05","6.34159"
"710.50","-1.25164E-05","37.00000"
"711.00","-2.38374E-05","37.00000"
"711.50","1.14883E-05","6.93974"
"712.00","1.74511E-05","6.75818"
"712.50","-1.22569E-05","37.00000"
"713.00","2.05255E-05","6.68771"
"713.50","5.96780E-05","6.22419"
"714.00","4.88954E-05","6.31073"
"714.50","6.73746E-05","6.17150"
"715.00","-1.23730E-05","37.00000"
"715.50","4.95446E-05","6.30500"
"716.00","4.00593E-05","6.39730"
"716.50","4.06039E-05","6.39143"
"717.00","4.07259E-05","6.39013"
"717.50","9.28139E-05","6.03239"
"718.00","1.01548E-04","5.99333"
"718.50","1.33173E-04","5.87558"
"719.00","1.64629E-04","5.78349"
"719.50","1.55162E-05","6.80921"
"720.00","4.90868E-05","6.30904"
"720.50","1.00324E-04","5.99860"
"721.00","7.39662E-05","6.13097"
"721.50","1.20773E-04","5.91803"
"722.00","9.95596E-05","6.00192"
"722.50","1.24390E-04","5.90521"
"723.00","8.69632E-05","6.06066"
"723.50","6.38046E-05","6.19515"
"724.00","1.57424E-04","5.80293"
"724.50","1.18553E-04","5.92609"
"725.00","5.41118E-05","6.26671"
"725.50","6.89004E-05","6.16178"
"726.00","7.04818E-05","6.15192"
"726.50","4.46653E-05","6.35003"
"727.00","1.69694E-05","6.77033"
"727.50","4.01714E-05","6.39608"
"728.00","1.06614E-04","5.97219"
"728.50","9.51519E-05","6.02158"
"729.00","1.84447E-05","6.73413"
"729.50","3.52935E-05","6.45231"
"730.00","1.56671E-04","5.80501"
"730.50","7.26377E-05","6.13884"
"731.00","8.60738E-05","6.06513"
"731.50","7.71302E-05","6.11278"
"732.00","1.63656E-04","5.78607"
